Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Marzo,Abril
2015,7,Chiapas,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0
2015,7,Chiapas,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0
2015,7,Chiapas,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0
2015,7,Chiapas,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,1
2015,7,Chiapas,Libertad personal,Rapto,Rapto,Rapto,0,0
2015,7,Chiapas,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,4,4
2015,7,Chiapas,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,36,26
2015,7,Chiapas,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0
2015,7,Chiapas,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,1,2
2015,7,Chiapas,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,75,74
2015,7,Chiapas,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,0
2015,7,Chiapas,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0
2015,7,Chiapas,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,7,4
2015,7,Chiapas,El patrimonio,Robo,Robo a casa habitación,Con violencia,138,131
2015,7,Chiapas,El patrimonio,Robo,Robo a casa habitación,Sin violencia,30,51
2015,7,Chiapas,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,64,53
2015,7,Chiapas,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,83,61
2015,7,Chiapas,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,9,13
2015,7,Chiapas,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,15,6
2015,7,Chiapas,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,2,0
2015,7,Chiapas,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,1,0
2015,7,Chiapas,El patrimonio,Robo,Robo de autopartes,Con violencia,1,7
2015,7,Chiapas,El patrimonio,Robo,Robo de autopartes,Sin violencia,0,2
2015,7,Chiapas,El patrimonio,Robo,Robo a transportista,Con violencia,2,1
2015,7,Chiapas,El patrimonio,Robo,Robo a transportista,Sin violencia,1,0
2015,7,Chiapas,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,82,93
2015,7,Chiapas,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,10,12
2015,7,Chiapas,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,1,2
2015,7,Chiapas,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0
2015,7,Chiapas,El patrimonio,Robo,Robo en transporte público individual,Con violencia,24,3
2015,7,Chiapas,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,1,1
2015,7,Chiapas,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,1,3
2015,7,Chiapas,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,0,0
2015,7,Chiapas,El patrimonio,Robo,Robo en transporte individual,Con violencia,4,1
2015,7,Chiapas,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,4
2015,7,Chiapas,El patrimonio,Robo,Robo a institución bancaria,Con violencia,3,1
2015,7,Chiapas,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0
2015,7,Chiapas,El patrimonio,Robo,Robo a negocio,Con violencia,62,57
2015,7,Chiapas,El patrimonio,Robo,Robo a negocio,Sin violencia,5,9
2015,7,Chiapas,El patrimonio,Robo,Robo de ganado,Con violencia,37,44
2015,7,Chiapas,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0
2015,7,Chiapas,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,1
2015,7,Chiapas,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,2
2015,7,Chiapas,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0
2015,7,Chiapas,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0
2015,7,Chiapas,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0
2015,7,Chiapas,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0
2015,7,Chiapas,El patrimonio,Robo,Otros robos,Con violencia,61,71
2015,7,Chiapas,El patrimonio,Robo,Otros robos,Sin violencia,28,37
2015,7,Chiapas,El patrimonio,Fraude,Fraude,Fraude,29,24
2015,7,Chiapas,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,10,11
2015,7,Chiapas,El patrimonio,Extorsión,Extorsión,Extorsión,12,23
2015,7,Chiapas,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,107,109
2015,7,Chiapas,El patrimonio,Despojo,Despojo,Despojo,25,27
2015,7,Chiapas,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,0,0
2015,7,Chiapas,La familia,Violencia familiar,Violencia familiar,Violencia familiar,81,86
2015,7,Chiapas,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0
2015,7,Chiapas,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,126,114
2015,7,Chiapas,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,0
2015,7,Chiapas,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,10,1
2015,7,Chiapas,La sociedad,Trata de personas,Trata de personas,Trata de personas,16,15
2015,7,Chiapas,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,0,1
2015,7,Chiapas,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,92,45
2015,7,Chiapas,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,11,9
2015,7,Chiapas,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,6,11
2015,7,Chiapas,Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos,Evasión de presos,0,0
2015,7,Chiapas,Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad,Falsedad,2,2
2015,7,Chiapas,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,9,9
2015,7,Chiapas,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,4,7
2015,7,Chiapas,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,24,21
2015,7,Chiapas,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,0,1
2015,7,Chiapas,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,249,255
2015,8,Chihuahua,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,52,32
2015,8,Chihuahua,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,8,11
2015,8,Chihuahua,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,23,20
2015,8,Chihuahua,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,23,17
2015,8,Chihuahua,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,6,2
2015,8,Chihuahua,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,31,18
2015,8,Chihuahua,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,34,36
2015,8,Chihuahua,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,223,261
2015,8,Chihuahua,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,1
2015,8,Chihuahua,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,87,81
2015,8,Chihuahua,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,8,4
2015,8,Chihuahua,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0
2015,8,Chihuahua,La vida y la Integridad corporal,Aborto,Aborto,Aborto,0,1
2015,8,Chihuahua,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,78,25
2015,8,Chihuahua,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0
2015,8,Chihuahua,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0
2015,8,Chihuahua,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0
2015,8,Chihuahua,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0
2015,8,Chihuahua,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0
2015,8,Chihuahua,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0
2015,8,Chihuahua,Libertad personal,Rapto,Rapto,Rapto,0,0
2015,8,Chihuahua,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,50,43
2015,8,Chihuahua,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,85,84
2015,8,Chihuahua,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0
2015,8,Chihuahua,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,11,16
2015,8,Chihuahua,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,60,49
2015,8,Chihuahua,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,27,17
2015,8,Chihuahua,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,1,0
2015,8,Chihuahua,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,7,14
2015,8,Chihuahua,El patrimonio,Robo,Robo a casa habitación,Con violencia,20,16
2015,8,Chihuahua,El patrimonio,Robo,Robo a casa habitación,Sin violencia,259,238
2015,8,Chihuahua,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,63,34
2015,8,Chihuahua,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,387,341
2015,8,Chihuahua,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,8,7
2015,8,Chihuahua,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,14,18
2015,8,Chihuahua,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo de autopartes,Sin violencia,6,7
2015,8,Chihuahua,El patrimonio,Robo,Robo a transportista,Con violencia,4,2
2015,8,Chihuahua,El patrimonio,Robo,Robo a transportista,Sin violencia,2,0
2015,8,Chihuahua,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,59,55
2015,8,Chihuahua,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,45,39
2015,8,Chihuahua,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo en transporte individual,Con violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo a institución bancaria,Con violencia,2,5
2015,8,Chihuahua,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,5,4
2015,8,Chihuahua,El patrimonio,Robo,Robo a negocio,Con violencia,43,33
2015,8,Chihuahua,El patrimonio,Robo,Robo a negocio,Sin violencia,131,113
2015,8,Chihuahua,El patrimonio,Robo,Robo de ganado,Con violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo de ganado,Sin violencia,51,32
2015,8,Chihuahua,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0
2015,8,Chihuahua,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0
2015,8,Chihuahua,El patrimonio,Robo,Otros robos,Con violencia,42,31
2015,8,Chihuahua,El patrimonio,Robo,Otros robos,Sin violencia,390,375
2015,8,Chihuahua,El patrimonio,Fraude,Fraude,Fraude,232,243
2015,8,Chihuahua,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,76,77
2015,8,Chihuahua,El patrimonio,Extorsión,Extorsión,Extorsión,1,1
2015,8,Chihuahua,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,567,509
2015,8,Chihuahua,El patrimonio,Despojo,Despojo,Despojo,55,55
2015,8,Chihuahua,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,12,8
2015,8,Chihuahua,La familia,Violencia familiar,Violencia familiar,Violencia familiar,921,929
2015,8,Chihuahua,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0
2015,8,Chihuahua,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,166,167
2015,8,Chihuahua,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,0
2015,8,Chihuahua,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,14,9
2015,8,Chihuahua,La sociedad,Trata de personas,Trata de personas,Trata de personas,3,2
2015,8,Chihuahua,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,2,3
2015,8,Chihuahua,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,256,247
2015,8,Chihuahua,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,224,210
2015,8,Chihuahua,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,19,25
2015,8,Chihuahua,Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos,Evasión de presos,0,0
2015,8,Chihuahua,Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad,Falsedad,23,20
2015,8,Chihuahua,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,36,37
2015,8,Chihuahua,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,3,4
2015,8,Chihuahua,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,53,47
2015,8,Chihuahua,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,0,0
2015,8,Chihuahua,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,332,313
2015,9,Ciudad de México,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,35,38
2015,9,Ciudad de México,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,9,14
2015,9,Ciudad de México,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,11,19
2015,9,Ciudad de México,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0
2015,9,Ciudad de México,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,4,3
2015,9,Ciudad de México,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,1,0
2015,9,Ciudad de México,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,70,56
2015,9,Ciudad de México,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0
2015,9,Ciudad de México,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0
2015,9,Ciudad de México,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,97,111
2015,9,Ciudad de México,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,96,93
2015,9,Ciudad de México,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,349,348
2015,9,Ciudad de México,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,0,0
2015,9,Ciudad de México,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0
2015,9,Ciudad de México,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0
2015,9,Ciudad de México,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,380,334
2015,9,Ciudad de México,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,63,88
2015,9,Ciudad de México,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0
2015,9,Ciudad de México,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,1,0
2015,9,Ciudad de México,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,2
2015,9,Ciudad de México,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,3,8
2015,9,Ciudad de México,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0
2015,9,Ciudad de México,La vida y la Integridad corporal,Aborto,Aborto,Aborto,13,17
2015,9,Ciudad de México,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,0,0
2015,9,Ciudad de México,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,3,5
2015,9,Ciudad de México,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0
2015,9,Ciudad de México,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0
2015,9,Ciudad de México,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0
2015,9,Ciudad de México,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0
2015,9,Ciudad de México,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,1
2015,9,Ciudad de México,Libertad personal,Rapto,Rapto,Rapto,1,0
2015,9,Ciudad de México,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,53,78
2015,9,Ciudad de México,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,123,126
2015,9,Ciudad de México,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,4,8
2015,9,Ciudad de México,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,0,0
2015,9,Ciudad de México,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,50,46
2015,9,Ciudad de México,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,7,1
2015,9,Ciudad de México,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0
2015,9,Ciudad de México,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,1,1
2015,9,Ciudad de México,El patrimonio,Robo,Robo a casa habitación,Con violencia,56,40
2015,9,Ciudad de México,El patrimonio,Robo,Robo a casa habitación,Sin violencia,407,388
2015,9,Ciudad de México,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,262,234
2015,9,Ciudad de México,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,759,630
2015,9,Ciudad de México,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,58,58
2015,9,Ciudad de México,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,72,91
2015,9,Ciudad de México,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo de autopartes,Sin violencia,224,207
2015,9,Ciudad de México,El patrimonio,Robo,Robo a transportista,Con violencia,24,8
2015,9,Ciudad de México,El patrimonio,Robo,Robo a transportista,Sin violencia,1,1
2015,9,Ciudad de México,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,903,924
2015,9,Ciudad de México,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,286,211
2015,9,Ciudad de México,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,21,29
2015,9,Ciudad de México,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo en transporte público individual,Con violencia,17,23
2015,9,Ciudad de México,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,8,9
2015,9,Ciudad de México,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,138,146
2015,9,Ciudad de México,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,77,72
2015,9,Ciudad de México,El patrimonio,Robo,Robo en transporte individual,Con violencia,108,105
2015,9,Ciudad de México,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo a institución bancaria,Con violencia,3,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo a negocio,Con violencia,286,291
2015,9,Ciudad de México,El patrimonio,Robo,Robo a negocio,Sin violencia,907,891
2015,9,Ciudad de México,El patrimonio,Robo,Robo de ganado,Con violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,1,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0
2015,9,Ciudad de México,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0
2015,9,Ciudad de México,El patrimonio,Robo,Otros robos,Con violencia,156,159
2015,9,Ciudad de México,El patrimonio,Robo,Otros robos,Sin violencia,1990,1900
2015,9,Ciudad de México,El patrimonio,Fraude,Fraude,Fraude,1012,928
2015,9,Ciudad de México,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,188,205
2015,9,Ciudad de México,El patrimonio,Extorsión,Extorsión,Extorsión,54,59
2015,9,Ciudad de México,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,792,761
2015,9,Ciudad de México,El patrimonio,Despojo,Despojo,Despojo,245,249
2015,9,Ciudad de México,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,0,0
2015,9,Ciudad de México,La familia,Violencia familiar,Violencia familiar,Violencia familiar,1229,1266
2015,9,Ciudad de México,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0
2015,9,Ciudad de México,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,90,73
2015,9,Ciudad de México,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,79,81
2015,9,Ciudad de México,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,13,15
2015,9,Ciudad de México,La sociedad,Trata de personas,Trata de personas,Trata de personas,3,8
2015,9,Ciudad de México,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,0,1
2015,9,Ciudad de México,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,121,119
2015,9,Ciudad de México,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,769,795
